,word,score,tags
0,petit dejeuner,7966707,"['syn', 'n', 'results_type:primary_rel']"
1,lunch,7105889,['n']
2,dinner,6843917,['n']
3,brunch,6457478,['n']
4,meal,6427788,['n']
5,morning,6212706,"['n', 'v']"
6,luncheon,5847379,['n']
7,lunches,5691881,['n']
8,oatmeal,5669243,['n']
9,lunchtime,5527736,['n']
10,coffee,5391927,['n']
11,eating,5052465,"['n', 'v']"
12,soup,4844710,['n']
13,eat,4453668,"['v', 'adj']"
14,lunchbox,3446088,['n']
15,host,3371960,['n']
16,baby,3162551,['n']
17,diamonds,2298805,['n']
18,continental breakfast,50891,"['n', 'prop']"
19,supper,50890,['n']
20,buffet,50889,"['n', 'adj', 'v']"
21,dutch treat,50888,['n']
22,snack,50886,['n']
23,dessert,50884,['n']
24,repast,50883,['n']
25,banquet,50882,['n']
26,diner,50881,['n']
27,croissant,50880,['n']
28,pizza,50879,['n']
29,cafeteria,50878,['n']
30,porridge,50876,['n']
31,jentacular,50875,['n']
32,scrambled eggs,50874,['n']
33,potluck dinner,50873,['n']
34,pancakes,50872,['n']
35,sandwiches,50871,['n']
36,roast beef,50870,['n']
37,quiche,50869,['n']
38,swiss steak,50868,"['n', 'prop']"
39,fish fry,50867,['n']
40,salisbury steak,50866,"['n', 'prop']"
41,eggs benedict,50865,"['n', 'prop']"
42,omelettes,50864,['n']
43,omelets,50863,['n']
44,barbecue,50862,['n']
45,flapjacks,50861,['n']
46,bed tea,50860,['n']
47,bed and board,50859,['n']
48,cinnamon toast,50857,['n']
49,barbeque,50856,['n']
50,buffett,50855,"['n', 'prop']"
51,fish chowder,50854,['n']
52,chicken casserole,50853,['n']
53,cordon bleu,50852,['n']
54,chicken kiev,50851,"['n', 'prop']"
55,donuts,50850,['n']
56,hamburgers,50849,['n']
57,cenatory,50848,['n']
58,hash browns,50847,['n']
59,baked potato,50846,['n']
60,dropmeal,50845,['n']
61,potluck,50844,['n']
62,picnic,50843,['n']
63,muffins,50842,['n']
64,bagels,50841,['n']
65,tamale pie,50840,['n']
66,wiener roast,50839,"['n', 'prop']"
67,ihop,50838,"['n', 'prop']"
68,cheeseburger,50837,['n']
69,pastries,50836,['n']
70,french toast,50835,"['n', 'prop']"
71,cookout,50834,['n']
72,lobster thermidor,50833,"['n', 'prop']"
73,quiche lorraine,50832,"['n', 'prop']"
74,burger,50831,['n']
75,waffles,50830,['n']
76,beef stew,50829,['n']
77,fruit salad,50828,['n']
78,beef stroganoff,50827,['n']
79,sloppy joe,50826,['n']
80,coffeecake,50825,['n']
81,salad,50824,['n']
82,nosh,50823,['n']
83,oxtail soup,50822,['n']
84,pasta salad,50821,['n']
85,carvery,50820,['n']
86,oyster stew,50819,['n']
87,scones,50818,['n']
88,veal parmesan,50817,['n']
89,vittles,50816,['n']
90,plat du jour,50815,"['n', 'prop']"
91,undermeal,50814,['n']
92,appetizers,50813,['n']
93,chicken stew,50812,['n']
94,elevenses,50811,['n']
95,vegetable soup,50810,['n']
96,roast lamb,50809,['n']
97,lasagna,50808,['n']
98,chicken salad,50807,['n']
99,refreshments,50806,['n']
